_id,Nummer,Name,Breitengrad,Längengrad,Standorttyp,Koordinaten,Kunden-ID,Objektmanager-ID,Vorname,Nachname,Status,Rechnungsempfänger-IDs,Tags,Straße,PLZ,Stadt,Land,Gehalt,Fahrtzeitenerfassung erlaubt,lastModified,Schlüssel,Beschreibung,Sicherheitscode,Enddatum,Startdatum,lead_id
65df33b2e51d4bd9f00e3879,10106,Restaurant bei Talon.One,"52,498227","13,4275246",Point,"[13.4275246,52.498227]",65df33b1fb423ecaf8002787,63775f7364a9c65fa6587f8b,Mäysel,Jahn,2,[],[],Wiener Str. 10,10999,Berlin,Deutschland,0,false,24.06.2024 12:56:00,,,,1719180000000,,
640a525964a9c6730f467681,14,Alba,"52,5786855","13,349509",Point,"[13.349509,52.5786855]",640a525864a9c672332b20ae,63775f7364a9c65fa6587f8b,Mäysel,Jahn,2,[],[],Flottenstraße 7-9,13407,Berlin,Deutschland,0,,28.02.2024 18:05:27,,,,1693519200000,,
65e704745b1287e00f023277,100006,Esanum Hexenhaus,"52,54235","13,4139927",Point,"[13.4139927,52.54235]",64ea3180505d5c087b02c20a,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Pappelallee 9,10437,Berlin,Deutschland,0,false,24.04.2024 13:22:27,,,,,,
65ed7d5452a388388d0c68af,100007,Neukunde Test,0,0,Point,"[0,0]",65ed7d532d72d7f3f505695a,65d45662d2b115f876082a72,Kai,Prillwitz,1,[],,Voltastr. 3,13189,Berlin,Deutschland,,false,10.03.2024 10:28:55,,,,,,
a3537939-f97c-4580-91ed-d6bfeb3fb25b,,Dentaltechnik Lutz Tamaschke,,,,,,,,,0,,,Schlieperstraße 5,13507,Berlin,,,,11.03.2024 08:41:29,,,,,,
788e7e02-8f6d-4cf2-8cc6-6ccac332315e,,Lutz Klemann,,,,,,,,,0,,,Am Borsigturm 17,13507,Berlin,,,,11.03.2024 11:54:17,,,,,,
91834230-b50d-4fac-b333-ea0ca32850d1,,Orchid,,,,,,,,,0,,,,,Berlin,,,,12.03.2024 19:37:55,,,,,,
65facb00db289a60940d8e9b,10156,JUNIMOND Bestattungen Leo Ritz & Hendrik Thiele GbR Pauschal,"52,5227595","13,451267",Point,"[13.451267,52.5227595]",65facb0065ed04a8220e56cc,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Straßmannstr. 25,10249,Berlin,Deutschland,0,false,08.04.2024 13:45:47,,,,,,
65f18e8fc6f785dd3a07bbde,10155,KST Kraftwerks- und Spezialteile GmbH Pauschal,"52,5874635","13,3532717",Point,"[13.353271699999999,52.5874635]",65f18e8ee965f945fe099311,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Hertzstraße 75,13158,Berlin,Deutschland,0,false,02.07.2024 11:54:20,,,,,1711922400000,
66056b0edd06b323f70fa597,10158,Volt Deutschland Pauschal,"52,5363279","13,4105305",Point,"[13.4105305,52.536327899999996]",66056b0e3f1579b72f0d74d5,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Choriner Str. 34,10435,Berlin,Deutschland,0,false,05.06.2024 12:33:29,,,,,,
